"3726270","Bryce Richards","Wed, 6 Dec 2023 19:45:13 -0500","Update README.md",	 1 file changed, 5 insertions(+), 3 deletions(-)	
"756b7a1","Shashank Bandaru","Wed, 6 Dec 2023 08:20:53 -0500","Update README.md",	 1 file changed, 3 insertions(+)	
"f5a6674","Shashank Bandaru","Mon, 4 Dec 2023 09:32:27 -0500","final presentation",	 2 files changed, 0 insertions(+), 0 deletions(-)	
"e80e08e","Jason Choi","Sun, 3 Dec 2023 20:07:30 -0500","small change",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"82e94e3","Shashank Bandaru","Sun, 3 Dec 2023 20:03:39 -0500","changed errors",	 1 file changed, 3 insertions(+), 3 deletions(-)	
"237a405","Jason Choi","Sun, 3 Dec 2023 19:52:00 -0500","fixed regular chat page",	 1 file changed, 5 insertions(+), 6 deletions(-)	
"3db80b1","Jason Choi","Sun, 3 Dec 2023 17:50:49 -0500","moved the knowledge base to navbar",	 9 files changed, 2524 insertions(+), 826 deletions(-)	
"12db62e","Zackery Whitscell","Sun, 3 Dec 2023 13:54:22 -0500","Update README.md",	 1 file changed, 51 insertions(+), 6 deletions(-)	
"09521bd","Zackery","Sat, 2 Dec 2023 00:00:48 -0500","zwhitsce Sprint4 commits",	 1 file changed, 212 insertions(+), 343 deletions(-)	
"7695aff","Zackery","Fri, 1 Dec 2023 23:54:02 -0500","Sprint 4 Final Push",	 6 files changed, 1013 insertions(+), 130 deletions(-)	
"882d804","brycerichards13","Fri, 1 Dec 2023 22:37:53 -0500","Also fixing the blame file, sorry for the commit spam",	 1 file changed, 1 insertion(+), 2 deletions(-)	
"dbd47d9","brycerichards13","Fri, 1 Dec 2023 21:36:20 -0600","Fixing the location of my sprint4 commit history",	 1 file changed, 0 insertions(+), 0 deletions(-)	
"31016f9","brycerichards13","Fri, 1 Dec 2023 21:34:33 -0600","Adding bricha37 commits",	 3 files changed, 239 insertions(+), 1 deletion(-)	
"b0a671b","brycerichards13","Fri, 1 Dec 2023 22:00:07 -0500","Implementing title generation for the chat page",	 5 files changed, 59 insertions(+), 13 deletions(-)	
"4425ac0","EarlTheUnicorn","Fri, 1 Dec 2023 20:39:19 -0500","Connor's sprint 4",	 1 file changed, 0 insertions(+), 0 deletions(-)	
"f0f822f","Austin Gilbert","Fri, 1 Dec 2023 19:12:00 -0500","updated commits for sprint 4",	 1 file changed, 2 insertions(+)	
"59d547e","Austin Gilbert","Fri, 1 Dec 2023 19:09:08 -0500","forgot to commit the added formatted delete button",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"e4f4da8","Austin Gilbert","Fri, 1 Dec 2023 18:53:58 -0500","sprint 4",	 1 file changed, 97 insertions(+)	
"9e9b2cf","Austin Gilbert","Fri, 1 Dec 2023 18:42:10 -0500","Formatted delete button and replace option button with toggle",	 4 files changed, 97 insertions(+), 4 deletions(-)	
"2d562e8","brycerichards13","Fri, 1 Dec 2023 17:22:30 -0500","Adding a loading wheel on project page",	 2 files changed, 92 insertions(+), 6 deletions(-)	
"b295385","brycerichards13","Fri, 1 Dec 2023 16:14:52 -0500","Making sidebar scrollable",	 1 file changed, 4 insertions(+), 3 deletions(-)	
"288a7ab","brycerichards13","Fri, 1 Dec 2023 15:11:08 -0500","Removing overflow in the x direction for the chat page, wip on the project page, and made the scrolling smooth",	 4 files changed, 151 insertions(+), 53 deletions(-)	
"06f04ad","Shashank Bandaru","Fri, 1 Dec 2023 11:13:24 -0500","sprint4",	 2 files changed, 73 insertions(+), 24 deletions(-)	
"7ef42f7","Shashank Bandaru","Fri, 1 Dec 2023 11:08:13 -0500","working AI commands and summary linked",	 6 files changed, 92 insertions(+), 809 deletions(-)	
"962b195","Jason Choi","Fri, 1 Dec 2023 08:43:32 -0500","sprint4",	 2 files changed, 1145 insertions(+)	
"c13db9a","Jason Choi","Wed, 29 Nov 2023 17:56:07 -0500","small change",	 2 files changed, 3 insertions(+), 7 deletions(-)	
"8df409d","Jason Choi","Wed, 29 Nov 2023 17:36:22 -0500","deleting files",	 1 file changed, 12 insertions(+), 2 deletions(-)	
"002a014","Jason Choi","Wed, 29 Nov 2023 16:46:33 -0500","file adding and user parsing",	 6 files changed, 99 insertions(+), 36 deletions(-)	
"1a42aa0","EarlTheUnicorn","Mon, 27 Nov 2023 20:50:07 -0500","delete chat bug fix",	 1 file changed, 20 insertions(+), 2 deletions(-)	
"9f03883","EarlTheUnicorn","Mon, 27 Nov 2023 20:23:23 -0500","added ability to delete chats and some backend for storing projects",	 7 files changed, 286 insertions(+), 14 deletions(-)	
"84fe331","EarlTheUnicorn","Mon, 27 Nov 2023 18:28:35 -0500","updated tree cleanup",	 1 file changed, 16 insertions(+), 2 deletions(-)	
"6bba94d","EarlTheUnicorn","Mon, 27 Nov 2023 13:28:35 -0500","Fixed regenerate feature with history",	 1 file changed, 13 insertions(+), 1 deletion(-)	
"3145c62","Jason Choi","Mon, 27 Nov 2023 13:20:03 -0500","implemented onto main page",	 3 files changed, 89 insertions(+), 5 deletions(-)	
"d395ad1","EarlTheUnicorn","Mon, 27 Nov 2023 12:16:04 -0500","chat history and project endpoints",	 11 files changed, 242 insertions(+), 6 deletions(-)	
"7691047","Jason Choi","Mon, 27 Nov 2023 11:50:34 -0500","file parsing",	 6 files changed, 167 insertions(+), 27 deletions(-)	
"8fa5b5a","Jason Choi","Mon, 27 Nov 2023 08:15:16 -0500","small change",	 4 files changed, 45 insertions(+), 20 deletions(-)	
"3961a4c","Jason Choi","Thu, 23 Nov 2023 00:43:39 -0600","card implementation and details from JSON",	 8 files changed, 117 insertions(+), 50 deletions(-)	
"650ac96","Jason Choi","Wed, 22 Nov 2023 19:13:38 -0600","card fixes",	 4 files changed, 14 insertions(+), 20 deletions(-)	
"065585d","Jason Choi","Wed, 22 Nov 2023 18:51:20 -0600","cards",	 7 files changed, 207 insertions(+), 24 deletions(-)	
"34e2655","Jason Choi","Mon, 20 Nov 2023 14:06:51 -0600","message box word-wrap",	 5 files changed, 85 insertions(+), 70 deletions(-)	
"69889dc","Jason Choi","Mon, 20 Nov 2023 00:52:24 -0600","Fixes to Input Editing",	 5 files changed, 114 insertions(+), 44 deletions(-)	
"b491bac","EarlTheUnicorn","Sun, 19 Nov 2023 20:20:59 -0500","fixed front-end",	 2 files changed, 91 insertions(+), 48 deletions(-)	
"f0846ca","EarlTheUnicorn","Sun, 19 Nov 2023 14:37:40 -0500","fixed the chat history errors",	 4 files changed, 76 insertions(+), 9 deletions(-)	
"6e6fec1","brycerichards13","Wed, 15 Nov 2023 20:34:04 -0600","Adding sprint3 info for Bryce Richards",	 2 files changed, 633 insertions(+)	
"8b5c7a5","brycerichards13","Wed, 15 Nov 2023 20:23:56 -0600","Adding recursing functionality",	 7 files changed, 128 insertions(+), 59 deletions(-)	
"9520ac4","Zackery","Wed, 15 Nov 2023 19:35:14 -0500","sprint3",	 1 file changed, 477 insertions(+)	
"bdcb544","Zackery","Wed, 15 Nov 2023 19:33:46 -0500","GitHub IDs added to README",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"56492e8","Zackery","Wed, 15 Nov 2023 19:32:01 -0500","Sprint 3 commits",	 3 files changed, 52 insertions(+)	
"b998794","EarlTheUnicorn","Wed, 15 Nov 2023 19:15:27 -0500","sprint 3",	 2 files changed, 37 insertions(+)	
"a26e6b3","Zackery","Wed, 15 Nov 2023 19:07:24 -0500","Inital creation of redirect from project page for smaller recursive calls using URL parameters",	 2 files changed, 373 insertions(+)	
"2c7c081","Zackery","Wed, 15 Nov 2023 18:36:26 -0500","Working scroll to bottom button",	 1 file changed, 22 insertions(+), 1 deletion(-)	
"be19179","Zackery","Wed, 15 Nov 2023 17:36:43 -0500","Started editing README.md and created LICENSE.txt",	 2 files changed, 61 insertions(+), 7 deletions(-)	
"3afcde8","Jason Choi","Wed, 15 Nov 2023 14:04:41 -0500","sprint3",	 2 files changed, 285 insertions(+), 226 deletions(-)	
"87bfe28","Austin Gilbert","Wed, 15 Nov 2023 13:55:08 -0500","Sprint 3",	 2 files changed, 174 insertions(+)	
"1feb93f","brycerichards13","Wed, 15 Nov 2023 01:39:38 -0500","Adding project page, and starting on recursion",	 9 files changed, 365 insertions(+), 6 deletions(-)	
"6ac76b4","Shashank Bandaru","Tue, 14 Nov 2023 22:18:26 -0500","sprint3",	 2 files changed, 163 insertions(+)	
"45a3713","Jason Choi","Tue, 14 Nov 2023 22:12:45 -0500","changed codeblock styles",	 5 files changed, 34 insertions(+), 10 deletions(-)	
"97691f9","Shashank Bandaru","Tue, 14 Nov 2023 21:59:17 -0500","Added functionality to show/hide arrows for different input/response depending on if multiple inputs/responses exist",	 2 files changed, 30 insertions(+), 14 deletions(-)	
"1320b82","Jason Choi","Tue, 14 Nov 2023 21:24:12 -0500","hidden scroll bar",	 1 file changed, 6 insertions(+), 1 deletion(-)	
"33f5f64","Jason Choi","Tue, 14 Nov 2023 20:09:05 -0500","textarea",	 3 files changed, 67 insertions(+), 52 deletions(-)	
"3a7dbeb","EarlTheUnicorn","Tue, 14 Nov 2023 19:57:45 -0500","mostly working chat history with merge",	 1 file changed, 6 insertions(+), 4 deletions(-)	
"5643e89","EarlTheUnicorn","Tue, 14 Nov 2023 19:18:09 -0500","attempted merge",	 1 file changed, 23 insertions(+), 53 deletions(-)	
"7a0e1eb","EarlTheUnicorn","Tue, 14 Nov 2023 17:57:47 -0500","kinda working chat history",	 2 files changed, 43 insertions(+), 25 deletions(-)	
"875ed24","Shashank Bandaru","Tue, 14 Nov 2023 15:26:03 -0500","45 implement web scraping so the ai can browse the web (#49)",	 5 files changed, 1080 insertions(+), 16 deletions(-)	
"265531f","Jason Choi","Tue, 14 Nov 2023 14:05:53 -0500","sprint3",	 3 files changed, 321 insertions(+)	
"68cccec","Austin Gilbert","Tue, 14 Nov 2023 13:51:05 -0500","fix error where when first loading up chat page it just had the navbar",	 1 file changed, 13 insertions(+), 3 deletions(-)	
"74dcc1c","Austin Gilbert","Tue, 14 Nov 2023 13:38:17 -0500","Formatted options and navbar buttons",	 3 files changed, 113 insertions(+), 13 deletions(-)	
"cf9729a","Austin Gilbert","Tue, 14 Nov 2023 11:02:07 -0500","try fixing widths and heights to adjust when changing window sizes",	 2 files changed, 4 insertions(+), 2 deletions(-)	
"20a689d","Jason Choi","Tue, 14 Nov 2023 10:07:36 -0500","changes",	 3 files changed, 84 insertions(+), 17 deletions(-)	
"1a684bf","Austin Gilbert","Mon, 13 Nov 2023 16:47:27 -0500","Added where the chat you are at stays highlighted in the navbar",	 2 files changed, 24 insertions(+), 7 deletions(-)	
"7c99ade","Shashank Bandaru","Mon, 13 Nov 2023 14:27:16 -0500","Update blame.sh",	 1 file changed, 4 deletions(-)	
"4903a17","EarlTheUnicorn","Sun, 12 Nov 2023 15:09:51 -0500","chat history bug update",	 2 files changed, 9 insertions(+), 8 deletions(-)	
"cc61702","EarlTheUnicorn","Sat, 11 Nov 2023 21:24:51 -0500","Chat history somewhat working",	 8 files changed, 406 insertions(+), 59 deletions(-)	
"bc91c8a","Jason Choi","Tue, 7 Nov 2023 15:23:10 -0500","chat icons",	 10 files changed, 88 insertions(+), 26 deletions(-)	
"112559c","Jason Choi","Tue, 7 Nov 2023 13:32:42 -0500","sidebar toggle",	 6 files changed, 59 insertions(+), 32 deletions(-)	
"b361c2e","Jason Choi","Tue, 7 Nov 2023 10:36:05 -0500","toggle sidebar",	 2 files changed, 16 insertions(+), 4 deletions(-)	
"402678c","Jason Choi","Tue, 7 Nov 2023 10:22:26 -0500","organized chat page css and fixed chat area",	 10 files changed, 125 insertions(+), 145 deletions(-)	
"c9160f6","EarlTheUnicorn","Sun, 5 Nov 2023 12:03:47 -0500","removed unnecessary reload",	 1 file changed, 4 insertions(+), 3 deletions(-)	
"ee85f02","EarlTheUnicorn","Sat, 4 Nov 2023 22:05:01 -0400","fixed incorrect user creation error",	 1 file changed, 104 insertions(+), 104 deletions(-)	
"fc2019e","Phil Magroin","Sat, 4 Nov 2023 21:28:26 -0400","Fixed incorrect error when accessing a user",	 4 files changed, 7 insertions(+), 23 deletions(-)	
"5c0e26f","EarlTheUnicorn","Sat, 4 Nov 2023 16:23:59 -0400","fixed incorrect user creation error",	 1 file changed, 58 insertions(+), 49 deletions(-)	
"76db165","Shashank Bandaru","Fri, 3 Nov 2023 22:22:40 -0400","Fixed merge",	 1 file changed, 1 deletion(-)	
"6b50744","Shashank Bandaru","Fri, 3 Nov 2023 22:19:51 -0400","Fixed merge",	 1 file changed, 4 deletions(-)	
"01c498a","Zackery","Wed, 1 Nov 2023 23:24:31 -0400","My commits (kind of)",	 1 file changed, 333 insertions(+)	
